"period","anio","Y","Y_eff","E","CO2","Cstock","damage","YD","Cd","Hh","TXd","Ns","def","phi","sigma","omega","E_g","E_c","Y_g","Y_c","CO2_g","CO2_c","esc"
3,2024,87104.8594758787,84499.3715803367,180868.140412557,7422.66148684929,34240.5094761784,0.029912084253617,73259.632376995,73577.6085643096,55893.5966226742,11239.7392033417,2154315.16154452,2.626158542694,2.07644144656066,0.0410390766992924,0.348482314677923,63029.3482224593,117838.792190097,48869.2079499191,38235.6515259595,556.002091152831,6866.65939569646,"2. Global"
4,2025,86816.5399623001,84224.9153697034,180269.46182471,7398.09227036443,34171.4306600215,0.0298517378568887,73022.3800165183,73289.289050731,55626.6875884616,11202.535353185,2147184.31829182,2.67773348188439,2.07644144656066,0.0410390766992924,0.348482314677923,62820.7193224183,117448.742502291,48707.4495090023,38109.0904532977,554.161708728309,6843.93056163612,"2. Global"
5,2026,86576.7637575988,83997.9274824895,179771.580575369,7377.65968358559,34096.9839668867,0.0297867021494323,72826.3321023923,73049.5128460297,55403.5068448242,11171.5953800971,2141254.06920728,2.72088656266641,2.07644144656066,0.0410390766992924,0.348482314677923,62647.2165122133,117124.364063156,48572.9257490251,38003.8380085738,552.631184805479,6825.02849878012,"2. Global"
6,2027,86378.0156584728,83810.7699880377,179358.891784919,7360.72331666136,34021.8362433624,0.0297210540305254,72664.8204423381,72850.7647469037,55217.5625402586,11145.9495456996,2136338.54502353,2.75683731296261,2.07644144656066,0.0410390766992924,0.348482314677923,62503.4017672755,116855.490017643,48461.4203491624,37916.5953093104,551.362548825906,6809.36076783545,"2. Global"
7,2028,86213.7954620461,83656.9100460182,179017.898162696,7346.72925324499,33949.0826736796,0.0296574974147099,72532.1509619169,72686.544550477,55063.1689516985,11124.7590841012,2132276.97990395,2.78666751021941,2.07644144656066,0.0410390766992924,0.348482314677923,62384.5715205129,116633.326642183,48369.2864432352,37844.5090188109,550.314309116065,6796.41494412893,"2. Global"
8,2029,86078.51767624,83530.7888870327,178737.001761449,7335.20152428967,33880.6674751752,0.0295977307461294,72423.4856261957,72551.2667646709,54935.3878132233,11107.303260837,2128931.23103602,2.811325887179,2.07644144656066,0.0410390766992924,0.348482314677923,62286.6840924218,116450.317669027,48293.3903533346,37785.1273229054,549.450812725079,6785.75071156459,"2. Global"
9,2030,85967.4105288805,83427.6988018589,178506.294275663,7325.73350208538,33817.7042425147,0.0295427268472671,72334.73246054,72440.1596173114,54829.960656452,11092.9663413188,2126183.28088085,2.831636494893,2.07644144656066,0.0410390766992924,0.348482314677923,62206.2866137614,116300.007661901,48231.0549300102,37736.3555988703,548.741600786209,6776.99190129917,"2. Global"
10,2031,85876.4185143298,83343.6700706407,178317.354685344,7317.97959574674,33760.7181267285,0.0294929444835476,72262.4450548839,72349.1676027607,54743.2381085752,11081.2250157569,2123932.82691416,2.84830916115126,2.07644144656066,0.0410390766992924,0.348482314677923,62140.4445079927,116176.910177351,48180.0048771473,37696.4136371824,548.160786458824,6769.81880928792,"2. Global"
11,2032,85802.111056578,83275.3687053681,178163.059600279,7311.64746791646,33709.8274165406,0.0294484869905327,72203.7320920382,72274.8601450089,54672.1100556045,11071.63661333,2122095.02264223,2.8619509100655,2.07644144656066,0.0410390766992924,0.348482314677923,62086.675399606,116076.384200673,48138.3155084146,37663.7955481634,547.686471912577,6763.96099600389,"2. Global"
12,2033,85741.5987085322,83220.0051630176,178037.409252768,7306.49089366767,33664.878379341,0.0294092200693214,72156.176874214,72214.3477969631,54613.9391328554,11063.8282888035,2120598.40500643,2.87307754913652,2.07644144656066,0.0410390766992924,0.348482314677923,62042.8884756653,115994.520777103,48104.3657318122,37637.23297672,547.300213416134,6759.19068025153,"2. Global"
13,2034,85692.4575098571,83175.2537163741,177935.370431106,7302.30331463915,33625.5442501693,0.0293748582620987,72117.7664544728,72165.206598288,54566.4989890402,11057.4872619013,2119383.02356848,2.88212489341162,2.07644144656066,0.0410390766992924,0.348482314677923,62007.3297509053,115928.0406802,48076.7956114835,37615.6618983735,546.986538503052,6755.31677613609,"2. Global"
14,2035,85652.6615891713,83139.181874952,177852.73653199,7298.91209571536,33591.3968898595,0.0293450275518011,72086.8297544487,72125.4106776022,54527.9180658867,11052.3521205033,2118398.77359876,2.88945929425583,2.07644144656066,0.0410390766992924,0.348482314677923,61978.5332984705,115874.203233519,48054.4685549306,37598.1930342407,546.732515762486,6752.17957995288,"2. Global"
15,2036,85620.5237470747,83110.189078658,177786.004184657,7296.17346179486,33561.9577527434,0.0293193098868703,72061.9839249933,72093.2728355056,54496.6291553744,11048.2051536647,2117603.92654999,2.895387284978,2.07644144656066,0.0410390766992924,0.348482314677923,61955.2782556082,115830.725929049,48036.4379777856,37584.085769289,546.527375572623,6749.64608622224,"2. Global"
16,2037,85594.6435406219,83086.9538046413,177732.265451333,7293.96807379625,33536.7333153215,0.0292972741313002,72042.0881520424,72067.3926290528,54471.3246783641,11044.8656525989,2116963.84605987,2.9001642582834,2.07644144656066,0.0410390766992924,0.348482314677923,61936.5512574315,115795.714193901,48021.9181771851,37572.7253634368,546.362178716859,6747.60589507939,"2. Global"
